codigo;codbarras;descrip;exisMerida;exisCaracas;exisOriente;marca;Precio;Oferta;Grupo;Vence;Principio;Escala;DescXEscala;Bonifica;CantBonifica
2202;817910010285;2 TETINAS FLUJO  MEDIO 3M+  CUELLO ANCHO BABY;0;0;2;MAGIC LOVE;133.18;133.18;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
2203;817910010322;2 TETINAS FLUJO  MEDIO 6M+  CUELLO ANCHO BABY;0;0;2;MAGIC LOVE;133.25;133.25;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
901054;733739001054;5-HTP 100 mg 60 VCAPS NOW;13;1;0;NOW;729.49;729.49;MEDICAMENTOS;2028-02-25;HIDROXITRIPTOFANO;0.00;0.00;0.000;0.000
221123;612197152006;ABINTRA 27GR MEGALABS;28;0;0;MEGALABS;296.70;296.70;SUPLEMENTOS ALIMENTICIOS;2025-12-25;;0.00;0.00;0.000;0.000
65830;7591619520889;ABRETIA 10MG X 10 CAP MEGALABS;4;0;0;MEGALABS;535.35;535.35;MEDICAMENTOS;2025-03-25;ATOMOXETINE ;0.00;0.00;0.000;0.000
68952;7591619520896;ABRETIA 18MG X 10 CAP MEGALABS;128;53;73;MEGALABS;722.39;722.39;MEDICAMENTOS;2025-04-25;ATOMOXETINE ;0.00;0.00;0.000;0.000
63810;7803510003638;ACCUALAXAN POLVO PARA SOL. ORAL X 255G MEGALA;15;71;17;ROWE;406.35;406.35;MEDICAMENTOS;2026-02-25;MACROGOL;0.00;0.00;0.000;0.000
66910;7803510003669;ACCUALAXAN SUSP. ORAL 17g X 7 SOB MEGALABS;8;103;19;ROWE;296.70;296.70;MEDICAMENTOS;2026-02-25;MACROGOL;0.00;0.00;0.000;0.000
09279-1;7591616000056;ACEITE COCO 30ML BIOFARCO;0;0;2;BIOFARCO;95.46;95.46;PATENTADOS NATURALES;NULL;ACEITE DE COCO;0.00;0.00;0.000;0.000
14743;7597134000097;ACEITE DE ALMENDRA X 120 ML LA ABEJITA;0;2;8;LA ABEJITA;154.45;154.45;PATENTADOS NATURALES;NULL;ACEITE DE ALMENDRAS;0.00;0.00;0.000;0.000
180824;7599028000848;ACEITE DE ALMENDRAS 30ML LYA;73;97;25;LYA;65.58;65.58;PATENTADOS NATURALES;2026-09-25;ACEITE DE ALMENDRAS;0.00;0.00;0.000;0.000
09287-1;7591616000032;ACEITE DE ALMENDRAS DULCES 30CC BIOFARCO;0;26;39;BIOFARCO;67.09;67.09;PATENTADOS NATURALES;NULL;ACEITE DE ALMENDRAS;0.00;0.00;0.000;0.000
259456;7599028000046;ACEITE DE COCO USO EXTERNO 30 CC LYA;0;51;61;LYA;83.18;83.18;PATENTADOS NATURALES;2026-08-25;ACEITE DE COCO;0.00;0.00;0.000;0.000
15744;7597134000103;ACEITE DE RICINO X 120 ML LA ABEJITA;20;22;33;LA ABEJITA;188.66;188.66;PATENTADOS NATURALES;2024-06-25;ACEITE DE RICINO;0.00;0.00;0.000;0.000
25925;7599028000060;ACEITE MINERAL 30 CC LYA;75;0;24;LYA;64.07;64.07;PATENTADOS NATURALES;2025-02-25;ACEITE MINERAL ;0.00;0.00;0.000;0.000
890481;8904278577481;ACEITE RELAJANTE DE MASAJE PARA BEBE FAHD;45;0;0;FAHD;147.18;147.18;MISCELANEOS;2025-04-25;;0.00;0.00;0.000;0.000
312026;7795380043091;ACEMUK 100 ML JBE MEYER;58;45;46;MEYER;552.67;276.34;MEDICAMENTOS;2024-07-25;N-ACETILCISTEINA;1.00;50.00;0.000;0.000
312629;7795380043145;ACEMUK 600 MG X 10 COMP MEYER;17;65;36;MEYER;425.37;212.69;MEDICAMENTOS;2024-08-25;N-ACETILCISTEINA;1.00;50.00;0.000;0.000
313589;7707355055756;ACEMUK 600 MG X 30 COMP MEYER;13;65;11;MEYER;983.94;491.97;MEDICAMENTOS;2024-10-25;N-ACETILCISTEINA;1.00;50.00;0.000;0.000
10990;7591196004802;ACETAB 250MG X 20 TAB OFTALMI;266;170;83;OFTALMI;526.83;526.83;MEDICAMENTOS;2025-02-25;ACETAZOLAMIDA (250 mg);0.00;0.00;0.000;0.000
1064288;8904180212937;ACETAM. AC.ACET. CAFEI.(ASTAMINOL) X20TAB JMW;641;878;553;JMW;38.78;38.78;MEDICAMENTOS;2024-06-25;ACETAMINOFEN+CAFEINA+ASPIRINA (250MG-65MG);0.00;0.00;0.000;0.000
11247;7591585112477;ACETAMI+TRAMAD 37,5/325(TEFENOL)X20 COMP LETI;104;0;0;LETI;77.39;77.39;ESTUPEFACIENTE;2024-06-25;ACETAMINOFEN -TRAMADOL CLORHIDRATO ;0.00;0.00;0.000;0.000
1061188;18906047594450;ACETAMINO+TIOCOLCHICOSI 500/4mg X100TAB JMW;3;12;17;JMW;1106.02;1106.02;MEDICAMENTOS;2024-08-25;ACETAMINOFEN+TIOCOLHICOSIDO;0.00;0.00;0.000;0.000
1063216;07460260000753;ACETAMINOFEN (PARACETAMOL) 500MGX100 TAB BALA;20;0;0;BALAXI;288.64;288.64;MEDICAMENTOS;2025-02-25;PARACETAMOL;0.00;0.00;0.000;0.000
606387;7591196006387;ACETAMINOFEN 120MG/5ML JBE 120ML OFTALMI;1107;739;324;OFTALMI;95.69;95.69;MEDICAMENTOS;2026-11-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
76486;7591196006486;ACETAMINOFEN 120MG/5ML JBE 60ML OFTALMI;935;280;181;OFTALMI;58.16;58.16;MEDICAMENTOS;2026-10-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
51010;7591818132074;ACETAMINOFEN 120MG/5ML JBE X120ML COFASA;65;55;44;COFASA;91.50;91.50;MEDICAMENTOS;2027-09-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
800770;7597758000770;ACETAMINOFEN 125 MG SUPOSITORIOS X 6 ALESS;206;440;259;ALESS;63.07;63.07;ESPECIALES;2025-11-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
