barcode;price;due_data;stock
733739001054;729.49;2028-02-25;1
7591619520896;722.39;2025-04-25;36
7803510003638;406.35;2026-02-25;71
7803510003669;296.7;2026-02-25;103
7597134000097;154.45;;2
7599028000848;65.58;2026-09-25;95
7591616000032;67.09;;21
7599028000046;83.18;2026-08-25;29
7597134000103;188.66;2025-04-25;21
7795380043091;552.67;2024-07-25;43
7795380043145;425.37;2024-08-25;64
7707355055756;983.94;2024-10-25;58
7591196004802;526.83;2025-02-25;128
8904180212937;38.73;2024-06-25;878
18906047594450;1106.02;2024-08-25;12
7591196006387;95.69;2026-11-25;667
7591196006486;58.16;2026-10-25;252
7591818132074;92.8;2027-09-25;55
7597758000770;63.07;2025-11-25;440
7591585177780;70.38;2026-01-25;1365
7597758000787;74.12;2025-11-25;431
7592454003384;236.02;2025-01-25;3
7591585376657;26.44;;1565
7591519004144;33.63;2026-09-25;430
18906047595013;98.75;;1
7597758000596;27.99;2025-04-25;1079
7591519005264;38.24;2026-12-25;656
7591585479051;210.94;2026-01-25;116
7594000850855;76.6;2026-11-25;1398
7597758000459;65.07;2025-06-25;1870
7594000850824;88.69;2026-11-25;431
7598981001176;45.57;2026-05-25;189
7598981000582;58.7;2025-08-25;1161
6921875008530;19.97;2025-10-25;348
7594001101604;28.78;2025-04-25;597
7591519008494;90.07;2027-02-25;480
7591196006516;27.68;2026-12-25;72
7591196006523;71.75;2026-11-25;198
7592806121018;180.6;2026-10-25;30
7591020006156;114.65;2025-06-25;104
7591020008839;119.8;2025-03-25;162
7591020000611;52.89;2027-08-25;591
7591020008471;224.63;2027-08-25;85
7591020009423;73.01;2025-06-25;346
7591020009430;73.01;2025-06-25;347
7591585111838;665.8;2026-09-25;72
7591585311634;231.37;2025-10-25;46
7750215001905;116.37;;1
7591519005639;176.39;2027-01-25;74
7750215003602;386.27;;6
6942189211324;54.91;2026-09-25;433
7598981002029;95.86;2024-12-25;316
7467922682173;124.6;2025-09-25;256
8904159499772;308.88;2024-08-25;19
7594000850282;96.75;;49
1759825210;243.01;2025-03-25;40
7599028000572;54.32;2026-11-25;100
8904180211565;470.2;2024-07-25;781
7591619501031;225.75;2026-10-25;374
7591585171498;37.23;;308
7594001101338;37.15;2026-11-25;301
7592601303190;11.88;;1
7594001101314;46.44;2027-06-25;257
7598981002449;39.96;2025-05-25;971
7591619501048;300.57;2024-07-25;25
7598813000339;26.97;2025-12-25;115
7592349926194;46.59;;624
7591619501024;64.5;2027-07-25;1477
7591519004892;47.97;2027-01-25;294
7591020008174;81.9;2027-03-25;352
7591519001112;55.22;2026-07-25;448
7591619501017;41.28;2028-07-25;192
7591619000213;60.63;;1
7591585271488;51.5;2026-01-25;84
7592601300779;202.14;2025-12-25;521
7598981001138;243.56;2026-02-25;119
7594001101345;51.08;2027-02-25;865
18906047595709;127.89;2025-02-25;146
7467922680018;304.22;2026-11-25;382
7591519051865;184.69;2025-07-25;222
7841134017822;197.02;2025-10-25;48
7591309003692;136.26;;79
7591844000712;64.5;2025-09-25;77
7591844000750;99.33;2026-07-25;47
7591844000729;77.4;2026-04-25;26
7591844000606;66.42;2026-09-25;103
7597467001570;853.22;2027-04-25;50
7597467001617;534.25;2025-04-25;5
7597467001600;734.35;2025-04-25;3
7597467001594;617.06;2025-04-25;10
7597467001655;598.71;2027-04-25;24
7597467001631;598.18;2025-04-25;13
7597467001648;773.67;2027-04-25;6
7597467000641;628.49;2028-08-25;15
7597467000665;497.35;2026-06-25;32
7597467000672;497.16;2028-06-25;50
7597467000849;460.02;2026-06-25;55
7597467000702;513.76;2026-06-25;32
7597467000719;513.76;2026-02-25;362
6920210513029;707.83;2027-05-25;23
7591818210406;260.27;2025-11-25;107
7591818210321;201.66;2026-06-25;40
7591196007186;47.05;2025-08-25;16195
7591196004451;87.91;2025-08-25;5308
7591619163024;72.24;2024-10-25;105
7591619163017;41.28;2024-09-25;1838
7591619163031;215.43;2025-02-25;42
7596211001156;182.03;2026-04-25;20
7591956110248;85.04;2027-02-25;42
7591956110217;20.83;2027-02-25;500
7591956110224;30.41;2027-02-25;795
7591956110231;48.03;2027-02-25;167
7593255000138;314.16;;1
7597467000771;1533.8;2026-03-25;13
7597467000788;1533.8;2026-03-25;14
7597467000795;1533.8;2026-03-25;16
7597467001693;111.11;2025-04-25;96
7597467001686;111.11;2025-04-25;100
7597467001709;201.32;2025-04-25;96
7703763169405;94.4;2025-03-25;115
7591818111017;139.19;2026-09-25;20
7591818111024;139.19;2026-09-25;36
7591196002563;95.19;2025-02-25;1054
7591196002808;243.58;2025-11-25;592
7591196002952;56.23;2025-06-25;445
